visit_id,customer_id,entry_time,exit_time,purpose
1,1,1/1/2022 14:00,1/1/2022 15:34,Hujjatlar
2,2,1/1/2022 17:23,1/1/2022 18:41,Texnik ko‘rik
3,3,1/1/2022 11:55,1/1/2022 12:43,Servis
4,4,1/1/2022 10:22,1/1/2022 11:16,Hujjatlar
5,5,1/1/2022 13:49,1/1/2022 14:20,Servis
6,6,1/1/2022 9:18,1/1/2022 10:37,Servis
7,7,1/2/2022 15:39,1/2/2022 17:15,Servis
8,8,1/2/2022 11:51,1/2/2022 13:43,Hujjatlar
9,9,1/2/2022 12:23,1/2/2022 14:04,Texnik ko‘rik
10,10,1/2/2022 12:36,1/2/2022 14:28,Hujjatlar
11,11,1/2/2022 15:52,1/2/2022 16:11,Texnik ko‘rik
12,12,1/2/2022 14:29,1/2/2022 16:15,Hujjatlar
13,13,1/3/2022 9:23,1/3/2022 11:00,Yangi mashina ko‘rish
14,14,1/3/2022 15:54,1/3/2022 17:49,Hujjatlar
15,15,1/3/2022 11:31,1/3/2022 12:44,Servis
16,16,1/3/2022 14:02,1/3/2022 14:26,Texnik ko‘rik
17,17,1/3/2022 17:21,1/3/2022 17:45,Servis
18,18,1/3/2022 14:04,1/3/2022 14:20,Test drive
19,19,1/3/2022 10:45,1/3/2022 11:34,Servis
20,20,1/3/2022 14:26,1/3/2022 16:18,Test drive
21,21,1/3/2022 12:24,1/3/2022 14:06,Yangi mashina ko‘rish
22,22,1/3/2022 12:02,1/3/2022 13:08,Servis
23,23,1/4/2022 14:52,1/4/2022 15:39,Texnik ko‘rik
24,24,1/4/2022 15:52,1/4/2022 17:44,Servis
25,25,1/4/2022 10:40,1/4/2022 11:54,Yangi mashina ko‘rish
26,26,1/4/2022 17:00,1/4/2022 18:47,Test drive
27,27,1/4/2022 10:05,1/4/2022 11:05,Yangi mashina ko‘rish
28,28,1/4/2022 11:41,1/4/2022 13:23,Texnik ko‘rik
29,29,1/5/2022 11:29,1/5/2022 12:39,Texnik ko‘rik
30,30,1/5/2022 16:30,1/5/2022 16:59,Servis
31,31,1/5/2022 15:02,1/5/2022 15:16,Texnik ko‘rik
32,32,1/5/2022 14:19,1/5/2022 15:19,Texnik ko‘rik
33,33,1/5/2022 17:33,1/5/2022 18:03,Hujjatlar
34,34,1/5/2022 10:45,1/5/2022 12:13,Yangi mashina ko‘rish
35,35,1/5/2022 17:23,1/5/2022 17:46,Servis
36,36,1/5/2022 12:35,1/5/2022 13:10,Servis
37,37,1/5/2022 15:33,1/5/2022 16:41,Yangi mashina ko‘rish
38,38,1/5/2022 16:05,1/5/2022 17:30,Servis
39,39,1/5/2022 11:04,1/5/2022 12:23,Servis
40,40,1/5/2022 16:36,1/5/2022 17:42,Yangi mashina ko‘rish
41,41,1/6/2022 14:28,1/6/2022 14:55,Servis
42,42,1/6/2022 17:46,1/6/2022 18:33,Hujjatlar
43,43,1/6/2022 13:13,1/6/2022 14:13,Texnik ko‘rik
44,44,1/6/2022 13:45,1/6/2022 14:35,Yangi mashina ko‘rish
45,45,1/6/2022 14:50,1/6/2022 15:36,Texnik ko‘rik
46,46,1/6/2022 11:42,1/6/2022 12:10,Hujjatlar
47,47,1/6/2022 13:04,1/6/2022 13:42,Test drive
48,48,1/6/2022 12:08,1/6/2022 13:14,Texnik ko‘rik
49,49,1/6/2022 16:28,1/6/2022 18:04,Yangi mashina ko‘rish
50,50,1/6/2022 15:49,1/6/2022 17:01,Yangi mashina ko‘rish
51,51,1/6/2022 14:10,1/6/2022 15:55,Texnik ko‘rik
52,52,1/6/2022 17:46,1/6/2022 18:28,Servis
53,53,1/7/2022 16:55,1/7/2022 18:25,Yangi mashina ko‘rish
54,54,1/7/2022 12:22,1/7/2022 12:53,Test drive
55,55,1/7/2022 10:48,1/7/2022 11:08,Test drive
56,56,1/7/2022 17:46,1/7/2022 19:33,Servis
57,57,1/7/2022 9:59,1/7/2022 11:10,Test drive
58,58,1/7/2022 15:32,1/7/2022 16:59,Servis
59,59,1/7/2022 12:32,1/7/2022 14:19,Texnik ko‘rik
60,60,1/8/2022 14:38,1/8/2022 16:25,Hujjatlar
61,61,1/8/2022 14:33,1/8/2022 15:10,Servis
62,62,1/8/2022 17:38,1/8/2022 19:26,Yangi mashina ko‘rish
63,63,1/8/2022 11:55,1/8/2022 13:48,Hujjatlar
64,64,1/8/2022 13:44,1/8/2022 14:05,Yangi mashina ko‘rish
65,65,1/8/2022 11:57,1/8/2022 12:56,Servis
66,66,1/8/2022 13:50,1/8/2022 15:33,Texnik ko‘rik
67,67,1/8/2022 11:07,1/8/2022 12:11,Servis
68,68,1/8/2022 15:04,1/8/2022 15:25,Yangi mashina ko‘rish
69,69,1/8/2022 13:42,1/8/2022 14:17,Test drive
70,70,1/8/2022 10:26,1/8/2022 12:17,Yangi mashina ko‘rish
71,71,1/8/2022 11:29,1/8/2022 13:23,Test drive
72,72,1/8/2022 10:49,1/8/2022 12:45,Texnik ko‘rik
73,73,1/8/2022 10:28,1/8/2022 11:05,Yangi mashina ko‘rish
74,74,1/8/2022 13:33,1/8/2022 14:49,Yangi mashina ko‘rish
75,75,1/9/2022 9:28,1/9/2022 10:01,Texnik ko‘rik
76,76,1/9/2022 17:35,1/9/2022 18:37,Test drive
77,77,1/9/2022 12:07,1/9/2022 12:25,Hujjatlar
78,78,1/9/2022 13:49,1/9/2022 15:02,Test drive
